epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,217.338,1.18324,1.11815,1.26757,0.87662,0.31364,0.52669,0.30847,1.5388,2.03643,1.57893,0.000616379,0.000616379,0.000616379
43,222.131,1.25183,1.50988,1.41152,0.87662,0.31364,0.52669,0.30847,1.5388,2.03643,1.57893,0.000620713,0.000620713,0.000620713
44,227.128,1.30062,1.24948,1.39106,0.87425,0.35149,0.68731,0.41147,1.48891,1.98845,1.56495,0.000624551,0.000624551,0.000624551
45,232.588,1.18112,1.14721,1.26096,0.87425,0.35149,0.68731,0.41147,1.48891,1.98845,1.56495,0.000627895,0.000627895,0.000627895
46,238.438,1.17628,1.15559,1.3037,0.82947,0.36012,0.64302,0.39369,1.48451,1.98266,1.60693,0.000630744,0.000630744,0.000630744
47,244.498,1.17502,1.13169,1.281,0.82947,0.36012,0.64302,0.39369,1.48451,1.98266,1.60693,0.000633098,0.000633098,0.000633098
48,250.46,1.05987,1.08089,1.19946,0.83635,0.39933,0.63537,0.40055,1.52538,1.86123,1.65655,0.000634956,0.000634956,0.000634956
49,256.209,1.17376,1.12526,1.34474,0.83635,0.39933,0.63537,0.40055,1.52538,1.86123,1.65655,0.00063632,0.00063632,0.00063632
50,262.114,1.21428,1.19393,1.37762,0.58622,0.40455,0.64424,0.4073,1.48269,1.8704,1.65031,0.000637189,0.000637189,0.000637189
51,268.037,1.23301,1.25077,1.40686,0.58622,0.40455,0.64424,0.4073,1.48269,1.8704,1.65031,0.00063125,0.00063125,0.00063125
52,273.329,1.17735,1.13132,1.33491,0.57903,0.40227,0.62079,0.3673,1.47863,1.88123,1.69178,0.000618875,0.000618875,0.000618875
53,277.261,1.26754,1.1159,1.31718,0.57903,0.40227,0.62079,0.3673,1.47863,1.88123,1.69178,0.0006065,0.0006065,0.0006065
54,282.711,1.13253,1.03447,1.28436,0.56242,0.40527,0.63798,0.34173,1.54971,1.84076,1.75807,0.000594125,0.000594125,0.000594125
55,288.539,1.07811,0.95668,1.24377,0.56242,0.40527,0.63798,0.34173,1.54971,1.84076,1.75807,0.00058175,0.00058175,0.00058175
56,294.955,1.1227,0.99124,1.24611,0.577,0.66268,0.68016,0.37287,1.62816,1.78512,1.77846,0.000569375,0.000569375,0.000569375
57,301.452,1.06616,1.06698,1.26388,0.577,0.66268,0.68016,0.37287,1.62816,1.78512,1.77846,0.000557,0.000557,0.000557
58,307.633,1.1177,1.0593,1.27257,0.58251,0.67633,0.70203,0.37294,1.59445,1.78286,1.72344,0.000544625,0.000544625,0.000544625
59,312.448,1.13691,1.1275,1.33236,0.58251,0.67633,0.70203,0.37294,1.59445,1.78286,1.72344,0.00053225,0.00053225,0.00053225
60,318.478,1.09108,1.05612,1.23245,0.90335,0.70559,0.72792,0.39332,1.58158,1.786,1.6996,0.000519875,0.000519875,0.000519875
61,324.494,1.09383,0.96145,1.22978,0.90335,0.70559,0.72792,0.39332,1.58158,1.786,1.6996,0.0005075,0.0005075,0.0005075
62,330.421,1.06715,0.95579,1.19306,0.92716,0.45455,0.72142,0.39465,1.60072,1.72835,1.69734,0.000495125,0.000495125,0.000495125
63,336.182,1.1192,1.12537,1.30212,0.92716,0.45455,0.72142,0.39465,1.60072,1.72835,1.69734,0.00048275,0.00048275,0.00048275
64,340.338,1.02411,0.99398,1.23054,0.86571,0.45455,0.72474,0.37993,1.64853,1.70761,1.71029,0.000470375,0.000470375,0.000470375
65,345.966,1.054,0.99736,1.21645,0.86571,0.45455,0.72474,0.37993,1.64853,1.70761,1.71029,0.000458,0.000458,0.000458
66,352.016,1.06561,0.9895,1.25356,0.87881,0.70455,0.72452,0.36798,1.618,1.66224,1.68867,0.000445625,0.000445625,0.000445625
67,358.187,1.04511,1.00023,1.26313,0.87881,0.70455,0.72452,0.36798,1.618,1.66224,1.68867,0.00043325,0.00043325,0.00043325
68,364.569,1.03775,0.98286,1.17403,0.8107,0.70455,0.71119,0.37356,1.60543,1.61255,1.68335,0.000420875,0.000420875,0.000420875
69,369.316,1.01882,0.9935,1.27297,0.8107,0.70455,0.71119,0.37356,1.60543,1.61255,1.68335,0.0004085,0.0004085,0.0004085
70,375.566,1.08126,0.96566,1.25568,0.95453,0.68171,0.71754,0.38319,1.5661,1.57848,1.66573,0.000396125,0.000396125,0.000396125
71,381.573,1.03935,0.94827,1.22651,0.95453,0.68171,0.71754,0.38319,1.5661,1.57848,1.66573,0.00038375,0.00038375,0.00038375
72,387.871,0.96952,0.94505,1.20393,0.94599,0.68895,0.72496,0.39908,1.58709,1.53236,1.67671,0.000371375,0.000371375,0.000371375
73,393.883,1.11669,1.05525,1.29081,0.94599,0.68895,0.72496,0.39908,1.58709,1.53236,1.67671,0.000359,0.000359,0.000359
74,399.969,1.0014,0.91071,1.15069,0.9437,0.64893,0.73477,0.39158,1.58355,1.54155,1.67648,0.000346625,0.000346625,0.000346625
75,404.414,1.03513,0.91914,1.23852,0.9437,0.64893,0.73477,0.39158,1.58355,1.54155,1.67648,0.00033425,0.00033425,0.00033425
76,410.242,0.95499,0.88057,1.1879,0.91768,0.66225,0.73895,0.39321,1.5957,1.56355,1.68745,0.000321875,0.000321875,0.000321875
77,416.022,0.91304,0.88331,1.16353,0.91768,0.66225,0.73895,0.39321,1.5957,1.56355,1.68745,0.0003095,0.0003095,0.0003095
78,422.428,0.91491,0.88155,1.17061,0.92449,0.6658,0.73722,0.38994,1.59811,1.57299,1.70593,0.000297125,0.000297125,0.000297125
79,428.137,0.83503,0.8034,1.07952,0.92449,0.6658,0.73722,0.38994,1.59811,1.57299,1.70593,0.00028475,0.00028475,0.00028475
80,432.22,0.92723,0.90687,1.17378,0.90271,0.67173,0.73628,0.39483,1.60515,1.56943,1.72457,0.000272375,0.000272375,0.000272375
81,438.2,0.92704,0.85948,1.11243,0.90271,0.67173,0.73628,0.39483,1.60515,1.56943,1.72457,0.00026,0.00026,0.00026
82,444.241,0.91845,0.84739,1.12215,0.94854,0.64462,0.76217,0.38559,1.61739,1.55308,1.76634,0.000247625,0.000247625,0.000247625
83,450.319,0.91586,0.8548,1.10605,0.94854,0.64462,0.76217,0.38559,1.61739,1.55308,1.76634,0.00023525,0.00023525,0.00023525
84,456.33,0.96752,0.93295,1.16921,0.94675,0.66244,0.74873,0.37061,1.63028,1.5494,1.78136,0.000222875,0.000222875,0.000222875
85,460.112,0.99599,0.95085,1.22365,0.94675,0.66244,0.74873,0.37061,1.63028,1.5494,1.78136,0.0002105,0.0002105,0.0002105
86,465.907,0.92808,0.98025,1.15056,0.93243,0.65682,0.7591,0.37335,1.64187,1.5661,1.78497,0.000198125,0.000198125,0.000198125
87,471.594,0.92181,0.88768,1.1713,0.93243,0.65682,0.7591,0.37335,1.64187,1.5661,1.78497,0.00018575,0.00018575,0.00018575
88,477.541,0.94127,0.93502,1.16984,0.9077,0.63182,0.74364,0.3762,1.60558,1.58979,1.75679,0.000173375,0.000173375,0.000173375
89,483.57,0.92034,0.90547,1.18639,0.9077,0.63182,0.74364,0.3762,1.60558,1.58979,1.75679,0.000161,0.000161,0.000161
90,489.753,0.92015,0.89825,1.14284,0.90822,0.63182,0.71603,0.35831,1.60503,1.59568,1.76034,0.000148625,0.000148625,0.000148625
91,493.781,0.8028,0.89903,1.10962,0.90822,0.63182,0.71603,0.35831,1.60503,1.59568,1.76034,0.00013625,0.00013625,0.00013625
92,499.655,0.82264,0.96073,1.15124,0.90818,0.63182,0.71374,0.3648,1.61634,1.60478,1.76019,0.000123875,0.000123875,0.000123875
93,505.511,0.77868,0.86153,1.0856,0.90818,0.63182,0.71374,0.3648,1.61634,1.60478,1.76019,0.0001115,0.0001115,0.0001115
94,511.386,0.77527,0.90375,1.09349,0.90729,0.63182,0.7148,0.36537,1.64009,1.60375,1.77452,9.9125e-05,9.9125e-05,9.9125e-05
95,517.359,0.77436,0.81292,1.04726,0.90729,0.63182,0.7148,0.36537,1.64009,1.60375,1.77452,8.675e-05,8.675e-05,8.675e-05
96,521.089,0.82556,0.86805,1.12102,0.91107,0.63182,0.69719,0.35084,1.6508,1.59453,1.78692,7.4375e-05,7.4375e-05,7.4375e-05
97,527.018,0.77029,0.82003,1.1055,0.91107,0.63182,0.69719,0.35084,1.6508,1.59453,1.78692,6.2e-05,6.2e-05,6.2e-05
98,532.976,0.81081,0.90607,1.16726,0.91784,0.63182,0.70639,0.35072,1.67731,1.55759,1.82058,4.9625e-05,4.9625e-05,4.9625e-05
99,538.905,0.80001,0.84835,1.10537,0.91784,0.63182,0.70639,0.35072,1.67731,1.55759,1.82058,3.725e-05,3.725e-05,3.725e-05
100,544.945,0.73094,0.79522,1.04086,0.92236,0.63182,0.70727,0.35529,1.67651,1.5439,1.83171,2.4875e-05,2.4875e-05,2.4875e-05
