epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7888,1.70067,3.33502,1.76833,0.01172,0.69359,0.29814,0.15115,1.64601,3.95982,1.82885,0.00028886,0.00028886,0.00028886
2,165.412,1.67238,2.61666,1.77997,0.85716,0.11,0.1622,0.05645,1.91514,3.69649,2.21525,0.000583001,0.000583001,0.000583001
3,246.669,1.71861,2.44305,1.8242,0.49994,0.28642,0.32512,0.14627,2.01448,3.40434,2.31977,0.000871202,0.000871202,0.000871202
4,328.547,1.74263,2.4054,1.80604,0.3081,0.36498,0.30159,0.1226,2.00969,3.60531,2.38343,0.001078,0.001078,0.001078
5,411.304,1.67471,2.25999,1.7536,0.51435,0.37551,0.41302,0.17531,2.01513,3.69402,2.29914,0.001067,0.001067,0.001067
6,493.649,1.69112,2.31753,1.76345,0.58496,0.38463,0.45263,0.20558,2.10997,2.9161,2.28623,0.00105601,0.00105601,0.00105601
7,576.058,1.70336,2.16376,1.76864,0.57509,0.36282,0.38958,0.1667,2.14354,3.47198,2.44312,0.00104501,0.00104501,0.00104501
8,658.174,1.65861,2.06671,1.72787,0.61317,0.49146,0.52687,0.2464,1.92686,2.725,2.15661,0.00103401,0.00103401,0.00103401
9,740.441,1.63159,2.0647,1.73292,0.58382,0.46784,0.52537,0.22026,2.03499,2.72964,2.24689,0.00102301,0.00102301,0.00102301
10,821.772,1.59836,1.93746,1.71484,0.49718,0.57888,0.53818,0.24047,1.90685,2.58114,2.11181,0.00101201,0.00101201,0.00101201
11,904.279,1.59223,1.86402,1.68122,0.52096,0.60377,0.57411,0.25028,1.87241,2.74415,2.1331,0.00100101,0.00100101,0.00100101
12,986.152,1.59031,1.80448,1.6741,0.66631,0.54722,0.61069,0.27293,1.87103,2.27716,2.08323,0.000990012,0.000990012,0.000990012
13,1069.19,1.56054,1.81433,1.65812,0.78101,0.54369,0.68094,0.32618,1.77734,2.16193,2.02344,0.000979013,0.000979013,0.000979013
14,1151.11,1.53956,1.69107,1.63228,0.68774,0.64644,0.66262,0.3274,1.7762,2.00185,1.99448,0.000968014,0.000968014,0.000968014
15,1233.94,1.50851,1.66117,1.61383,0.74196,0.61085,0.69213,0.32337,1.82815,2.05005,2.03638,0.000957015,0.000957015,0.000957015
