epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4187,1.83782,3.62441,1.98775,0.01671,0.53864,0.05575,0.01912,1.62788,3.94662,1.94608,5.555e-05,5.555e-05,5.555e-05
2,35.7999,1.56335,3.45283,1.83688,0.01802,0.53636,0.11563,0.03249,1.41765,3.90598,1.71393,0.000121,0.000121,0.000121
3,54.0008,1.5217,2.99894,1.78203,0.01821,0.56136,0.224,0.07216,1.52016,3.83666,1.76911,0.00018513,0.00018513,0.00018513
4,71.4002,1.57091,2.43209,1.82593,0.01959,0.56136,0.25044,0.09698,1.6511,3.76732,1.89668,0.000247941,0.000247941,0.000247941
5,87.7409,1.55922,2.13549,1.78153,0.03779,0.67727,0.26984,0.0938,1.67173,3.68896,1.86485,0.000309431,0.000309431,0.000309431
6,107.175,1.52872,1.92996,1.71725,0.04646,0.58409,0.19908,0.08289,1.72188,3.7231,1.89185,0.000369602,0.000369602,0.000369602
7,125.924,1.5121,1.8255,1.72924,0.04112,0.60682,0.19177,0.09531,1.6312,3.58588,1.73274,0.000428453,0.000428453,0.000428453
8,145.945,1.44157,1.66294,1.70258,0.79288,0.18077,0.23411,0.1279,1.58998,3.286,1.68994,0.000485984,0.000485984,0.000485984
9,163.197,1.43037,1.6143,1.66485,0.80105,0.16575,0.2906,0.14671,1.8505,3.08879,1.92647,0.000542195,0.000542195,0.000542195
10,181.121,1.39119,1.54219,1.61461,0.85451,0.17045,0.31593,0.11593,1.87009,3.00738,1.9774,0.000597086,0.000597086,0.000597086
11,202.363,1.42336,1.56549,1.63295,0.69146,0.23864,0.2337,0.1048,1.86302,3.01666,1.98711,0.000650657,0.000650657,0.000650657
12,221.425,1.43752,1.46134,1.60432,0.65593,0.1223,0.23074,0.13851,1.82605,3.16019,1.96231,0.000702909,0.000702909,0.000702909
13,246.825,1.43166,1.39528,1.61442,0.7873,0.17928,0.25114,0.1372,1.89211,3.11805,2.05924,0.00075384,0.00075384,0.00075384
14,275.381,1.39306,1.34826,1.53621,0.78408,0.1787,0.25448,0.13484,1.80793,3.15892,2.05464,0.000803452,0.000803452,0.000803452
15,295.985,1.36954,1.38964,1.58202,0.78453,0.16136,0.26477,0.14644,1.85268,3.08654,2.04845,0.000851744,0.000851744,0.000851744
16,313.526,1.3697,1.3719,1.57744,0.53751,0.14991,0.26393,0.14747,1.87197,2.95466,2.06578,0.000898716,0.000898716,0.000898716
17,332.553,1.34409,1.31929,1.54753,0.8732,0.18864,0.27544,0.13,1.98764,2.67279,2.10374,0.000935018,0.000935018,0.000935018
18,355.006,1.31746,1.30503,1.52063,0.82083,0.23259,0.36799,0.17459,2.0555,2.44173,2.15743,0.000924019,0.000924019,0.000924019
19,374.717,1.36715,1.32216,1.58257,0.45986,0.32955,0.43203,0.18578,2.04915,2.40718,2.14424,0.00091302,0.00091302,0.00091302
20,396.051,1.3421,1.25779,1.57393,0.66196,0.50763,0.48734,0.2604,1.89611,2.35947,1.89925,0.000902021,0.000902021,0.000902021
21,415.484,1.28093,1.23926,1.49408,0.70828,0.4618,0.41411,0.21662,1.95587,2.39884,1.96282,0.000891022,0.000891022,0.000891022
22,436.391,1.31139,1.23602,1.52033,0.61933,0.54958,0.68815,0.34324,1.90038,2.34554,1.91266,0.000880023,0.000880023,0.000880023
23,454.503,1.35495,1.20815,1.52715,0.54219,0.9,0.7416,0.33807,1.7468,2.50888,1.82088,0.000869024,0.000869024,0.000869024
24,476.534,1.30787,1.20881,1.52724,0.43081,0.82136,0.67633,0.28282,1.76919,2.5317,1.89523,0.000858025,0.000858025,0.000858025
25,496.05,1.25185,1.16421,1.48889,0.40757,0.9,0.63536,0.27793,1.75972,2.30117,1.88878,0.000847026,0.000847026,0.000847026
26,515.878,1.2931,1.16889,1.49918,0.71634,0.52727,0.60269,0.33034,1.76095,2.09533,1.86008,0.000836027,0.000836027,0.000836027
27,535.833,1.26395,1.11362,1.46072,0.43952,0.87287,0.60667,0.28359,1.83664,2.26038,1.97877,0.000825029,0.000825029,0.000825029
28,557.481,1.27953,1.09454,1.48485,0.50122,0.77955,0.63615,0.31274,1.89831,2.16949,2.04824,0.00081403,0.00081403,0.00081403
29,576.978,1.2338,1.09982,1.4547,0.42445,0.82955,0.58767,0.30239,1.86555,2.23161,2.00393,0.000803031,0.000803031,0.000803031
30,596.155,1.27907,1.18233,1.54113,0.76326,0.55455,0.57379,0.32655,1.85044,2.12399,1.93794,0.000792032,0.000792032,0.000792032
31,617.596,1.26459,1.1016,1.48516,0.75348,0.50682,0.57933,0.34713,1.89888,2.11667,1.98229,0.000781033,0.000781033,0.000781033
32,636.824,1.23305,1.08414,1.46607,0.40475,0.53182,0.55901,0.22659,2.05658,2.14086,2.13514,0.000770034,0.000770034,0.000770034
33,655.383,1.22855,1.09596,1.50224,0.32742,0.55618,0.54436,0.20093,2.14165,2.08341,2.15679,0.000759035,0.000759035,0.000759035
34,678.147,1.21047,1.09224,1.45999,0.91511,0.23409,0.56527,0.27102,2.1354,2.11303,2.13379,0.000748036,0.000748036,0.000748036
35,696.885,1.25807,1.08671,1.48593,0.84611,0.33409,0.47452,0.18946,2.1439,1.94853,2.16289,0.000737037,0.000737037,0.000737037
36,714.855,1.1998,1.052,1.45804,0.89855,0.35909,0.63861,0.24104,1.99054,1.85739,2.06884,0.000726038,0.000726038,0.000726038
37,734.839,1.17889,1.06248,1.44169,0.90208,0.3908,0.70066,0.27785,1.91319,1.833,2.02092,0.00071504,0.00071504,0.00071504
38,753.399,1.13034,0.96935,1.38748,0.5569,0.65455,0.71894,0.38217,1.81567,1.65018,1.94413,0.000704041,0.000704041,0.000704041
